FIPS,emp_total_county_naics,emp_occupation,emp,qp1,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
31173,1698,16.065542708556936,1698,18096,83623,176,0,0,0,0,0,0,0,0,0,0,0,0,0
31175,1910,32.72752859837057,1910,20008,98187,456,290,0,0,0,0,0,0,0,0,0,0,0,0
31177,40213,519.1327262413567,40213,584220,2522752,3376,1913,403,110,0,0,0,0,0,0,0,0,0,0
31179,2998,54.06858545288041,2998,44321,181475,405,144,39,0,0,0,0,0,0,0,0,0,0,0
31181,425,7.499231068334242,425,5300,25325,75,0,0,0,0,0,0,0,0,0,0,0,0,0
31185,35298,265.49478792513753,35298,285674,1522063,2218,939,209,72,0,0,0,0,0,0,0,0,0,0
31999,1600264,3314.74910412199,1600264,21552639,99869266,2483,1408,188,0,0,0,0,0,0,470,0,282,0,0
32001,21587,212.65204589077047,21587,371069,1461995,1683,706,289,60,0,0,0,0,0,0,0,0,0,0
32003,3019913,16767.039042724537,2894193,38841705,172309116,153657,75802,26708,21295,15653,6312,3563,683,138,0,0,0,0,0
32005,74085,398.97508635220953,74085,933154,4058189,6880,3827,1092,346,204,0,0,0,0,0,0,0,0,0
32007,182844,3454.0100893132076,182844,5112610,17787479,6041,3031,1118,282,282,21,0,0,0,0,0,0,0,0
32011,30705,855.889834487334,30705,832301,3238078,92,0,0,0,0,0,0,0,0,0,0,0,0,0
32013,69670,1607.2807361220428,69670,1662202,6571935,1801,545,215,116,0,0,0,0,0,0,0,0,0,0
32015,1236,14.70504559667495,1236,13665,63301,81,0,0,0,0,0,0,0,0,0,0,0,0,0
32019,65900,581.5330695887745,65900,932223,4076652,4628,2152,478,40,179,0,0,0,0,0,0,0,0,0
32021,529,14.713612821635884,529,10051,67344,69,0,0,0,0,0,0,0,0,0,0,0,0,0
32023,44724,869.3705502184722,44724,814749,3544318,2228,1064,375,110,0,0,0,0,0,0,0,0,0,0
32027,13846,385.9252139860377,13846,352360,1362865,69,0,0,0,0,0,0,0,0,0,0,0,0,0
32029,426,1.6336037990435601,426,6014,33259,102,45,0,0,0,0,0,0,0,0,0,0,0,0
32031,1358101,7612.024883286503,1281440,19482930,84687468,60572,27880,10616,8728,6176,1770,1172,389,0,0,0,0,0,0
32033,1694,27.301792666465577,1694,17802,86187,317,111,96,0,0,0,0,0,0,0,0,0,0,0
32510,129187,906.7278228469478,129187,1668668,7492682,7831,3455,1204,959,345,21,0,0,0,0,0,0,0,0
32999,1297460,1476.6712413606244,1297460,14089566,66232640,3184,1311,81,0,164,123,164,287,246,328,123,0,123,0
33001,64607,635.5483960088247,64607,908819,4412894,7422,4259,1107,373,257,0,0,0,0,0,0,0,0,0
33003,43370,479.984265904872,43370,489932,2392973,6467,3923,777,455,78,0,0,0,0,0,0,0,0,0
33005,142179,1471.5539046281128,142179,2157645,9987455,9120,4425,1323,608,211,0,0,0,0,0,0,0,0,0
33007,14962,253.5587105862622,14962,167823,747635,2026,1102,241,48,21,0,0,0,0,0,0,0,0,0
33009,107829,906.6774956350723,107829,1416834,6519261,8870,4922,1355,518,188,0,0,0,0,0,0,0,0,0
33011,1226098,9818.083229113894,1157850,21156901,88888852,53703,27695,8369,5854,4333,2423,1042,84,0,0,0,0,0,0
33013,273722,2476.685984205759,259740,3815597,17409119,19275,9549,3167,1722,1853,35,0,0,0,0,0,0,0,0
33015,919565,7866.876063541182,796346,12995613,57020408,46091,24610,8307,4484,3945,645,466,0,0,0,0,0,0,0
33017,196233,1798.406516654396,188553,2632013,11648238,12128,5968,1710,1212,645,275,0,0,0,0,0,0,0,0
33019,49209,475.51464510945567,49209,524886,2376700,4788,2882,549,117,235,0,0,0,0,0,0,0,0,0
33999,1385127,2195.876380562755,1385127,21689649,91804208,2300,1589,0,0,0,0,0,0,129,129,0,0,0,0
34001,242377,1645.7514623424727,242377,3480273,15636406,21369,11734,3379,2463,1315,181,0,0,0,0,0,0,0,0
34003,1886886,13205.887295551218,1584328,27837121,115417032,107858,63027,16476,10808,7912,3291,1738,0,0,0,0,0,0,0
34005,932355,6381.279931781065,796761,13997770,58329439,40290,19738,5990,4825,4222,1205,161,0,0,0,0,0,0,0
34007,612275,3792.064341282335,604701,9546010,42061775,42746,21487,7777,5081,3679,987,293,78,0,0,0,0,0,0
34009,59063,419.87406460967406,59063,652553,3157501,11994,7894,1913,1140,108,0,0,0,0,0,0,0,0,0
34011,164099,1212.9067576295804,164099,1835390,8982049,11670,5967,2018,746,439,298,105,0,0,0,0,0,0,0
34013,1191368,8700.881665346258,1042180,18170875,75013113,62685,35584,9601,6344,5036,1206,661,251,0,0,0,0,0,0
34015,460889,3026.8248021805034,438837,6210111,27814868,27509,13895,4188,3066,2543,507,369,0,0,0,0,0,0,0
34017,536649,2839.8220692175714,502427,6424555,28343818,32279,19196,4079,2829,1983,817,495,180,0,0,0,0,0,0
34019,182215,1126.868660861888,182215,3001360,13797192,16282,9405,2936,1215,769,251,0,0,0,0,0,0,0,0
34021,658995,3654.2430172252366,596634,10614810,42971677,30810,16717,4882,2647,2433,775,501,135,0,0,0,0,0,0
34023,1898750,11501.577424296573,1728790,26233813,115698360,77610,40131,11341,8082,7566,3422,2412,378,0,0,0,0,0,0
34025,877554,5162.0154228681795,834308,12192282,57105848,65941,38310,10953,6413,5049,970,874,0,0,0,0,0,0,0
34027,1384523,8429.183645738754,1203317,19156066,87094383,70439,39759,10952,7338,5395,1705,844,357,135,0,0,0,0,0
34029,416900,2935.4427138798173,394407,5007201,23423489,53320,34131,8964,4804,2262,635,28,0,0,0,0,0,0,0
34031,778483,5658.196456186053,678893,11325391,48478981,50062,29480,7437,4525,3197,695,894,0,0,0,0,0,0,0
34033,74998,401.69832579086665,74998,2114185,7771681,4181,2431,638,170,108,0,0,0,0,0,0,0,0,0
34035,778109,4332.265026098973,756555,13471032,57357426,35701,19400,5339,3773,2192,1016,551,180,0,0,0,0,0,0
34037,111383,1092.050123430349,111383,1594426,7280153,15495,9742,2413,1275,419,21,0,0,0,0,0,0,0,0
34039,872773,7095.558026816191,730800,11965551,52744732,57256,32321,9316,5614,4281,1315,60,0,0,0,0,0,0,0
34041,110280,886.9736088433605,110280,1583861,7211451,10218,5660,1443,669,40,0,0,0,0,0,0,0,0,0
34999,6728969,8231.96918439908,6728969,81354362,351080620,10545,4110,663,490,180,213,495,1080,1305,1620,495,495,360,270
35001,955751,10148.27196712693,945083,12150007,53710128,59468,28052,11474,8610,6091,1758,1050,167,0,0,0,0,0,0
35003,5,0.41834801943506544,5,19,123,3,3,0,0,0,0,0,0,0,0,0,0,0,0
35005,43941,688.5458355567514,43941,512197,2384326,4575,2275,777,304,92,0,0,0,0,0,0,0,0,0
35006,1958,66.71209004880679,1958,15539,67904,303,135,0,0,0,0,0,0,0,0,0,0,0,0
35007,2134,42.53141475486967,2134,17701,76209,462,318,27,0,0,0,0,0,0,0,0,0,0,0
35009,26077,384.00752849316314,26077,252225,1117397,2773,1304,278,306,76,0,0,0,0,0,0,0,0,0
35013,177007,1861.7522682283873,177007,1904352,8437035,13407,6691,2588,1376,742,256,81,81,0,0,0,0,0,0
35015,133600,2610.591608921122,133600,2534480,10775943,8574,3097,1497,1271,1099,196,56,0,0,0,0,0,0,0
35017,22401,823.147439506535,22401,508308,1518591,1007,636,0,30,0,0,0,0,0,0,0,0,0,0
35025,144560,2590.8102099933485,144560,2390402,11129145,9881,4165,1624,1471,1265,376,72,0,0,0,0,0,0,0
35027,6988,109.77201064496187,6988,60498,293720,1285,828,81,57,0,0,0,0,0,0,0,0,0,0
35028,23209,130.43028349460369,23209,411443,1954708,950,463,69,0,81,0,0,0,0,0,0,0,0,0
35029,3773,74.05792278995348,3773,37567,166520,609,252,0,27,0,0,0,0,0,0,0,0,0,0
35031,16989,347.3310952329722,16989,144241,706265,2001,863,408,276,57,0,0,0,0,0,0,0,0,0
35033,56,0.4555651120603133,56,441,1729,21,21,0,0,0,0,0,0,0,0,0,0,0,0
35035,25900,403.5075359804788,25900,298910,1364390,2740,1351,420,188,193,0,0,0,0,0,0,0,0,0
35037,1577,41.26185125283292,1577,17959,81918,294,107,45,0,0,0,0,0,0,0,0,0,0,0
35039,5717,67.74608950665933,5717,45882,216825,1068,613,72,69,0,0,0,0,0,0,0,0,0,0
35041,5931,95.00151733860815,5931,48739,227878,731,268,60,51,0,0,0,0,0,0,0,0,0,0
35043,67333,739.8312927649771,67333,766279,3801294,7159,4234,882,709,425,0,0,0,0,0,0,0,0,0
35045,156631,3095.01305944187,145151,2147453,10285628,12281,5652,2302,1604,1059,90,36,0,0,0,0,0,0,0
35047,6806,64.90885231718175,6806,129177,526666,614,319,0,0,0,0,0,0,0,0,0,0,0,0
35049,94152,1107.0548322878371,91968,924193,4203016,14026,8451,2402,1463,686,0,0,0,0,0,0,0,0,0
35051,483,18.50914911740153,483,3352,14239,164,124,0,0,0,0,0,0,0,0,0,0,0,0
35053,751,11.88965181717363,751,8634,42541,234,130,0,0,0,0,0,0,0,0,0,0,0,0
35055,12194,150.9536309523559,12194,97317,422725,2106,1532,182,75,0,0,0,0,0,0,0,0,0,0
35057,3363,38.70016791456855,3363,42689,185062,434,198,0,0,0,0,0,0,0,0,0,0,0,0
35059,84,4.294320761320192,84,868,3388,49,49,0,0,0,0,0,0,0,0,0,0,0,0
35061,24029,297.40805804774317,24029,239634,1187335,3573,1946,811,243,85,0,0,0,0,0,0,0,0,0
35999,89210,746.2025096614274,89210,1102920,4859423,1961,1078,81,0,126,54,0,0,0,0,0,0,0,0
36001,702252,4881.574339237379,673921,10961836,48577092,35277,16786,6202,3932,3347,1797,701,0,0,0,0,0,0,0
36003,30129,212.6213593368702,30129,399392,2212474,2308,1202,152,30,0,0,0,0,0,0,0,0,0,0
36005,471577,3422.4500591166657,454713,6901145,29514172,40171,24119,6407,4133,2892,232,255,0,0,0,0,0,0,0
36007,353072,2799.767587682975,353072,5037032,22560667,17029,8197,2361,1508,1311,264,194,0,0,0,0,0,0,0
36009,130467,1231.5161305289591,89906,1476265,5797407,5549,2673,681,318,203,0,0,0,0,0,0,0,0,0
36011,85394,885.8048331894954,85394,1055397,4305215,6703,3863,736,464,0,0,0,0,0,0,0,0,0,0
36013,329683,2989.6973379927263,244427,2934058,12622209,13104,5723,1492,1513,718,282,0,0,0,0,0,0,0,0
36015,141753,1224.0220884921248,141753,1766829,7940291,6536,2532,960,542,278,28,0,0,0,0,0,0,0,0
36017,36681,276.54590645222873,36681,324278,1628660,2908,1395,324,60,28,0,0,0,0,0,0,0,0,0
36019,99179,1548.632888753569,99179,1162899,5119501,6576,3214,788,464,344,0,0,0,0,0,0,0,0,0
36021,56296,480.0912951014604,56296,616439,2826859,7147,4319,956,143,18,0,0,0,0,0,0,0,0,0
36023,59654,508.9458095185121,59654,869388,3528534,3991,1947,457,82,28,0,0,0,0,0,0,0,0,0
36025,26036,261.2986459549192,26036,244430,1098597,3244,2071,415,192,0,0,0,0,0,0,0,0,0,0
36027,296853,2233.8131305306115,293983,5336450,21788888,30542,20499,4300,2000,792,63,0,0,0,0,0,0,0,0
36029,3220722,28385.730229636418,2250871,34008043,145090948,103141,52114,16686,12491,9569,4026,2107,381,0,0,0,0,0,0
36031,7609,114.79658631501108,7609,80243,467743,2142,1486,195,68,0,0,0,0,0,0,0,0,0,0
36033,12123,152.83358245975924,12123,143300,691229,2254,1304,437,120,0,0,0,0,0,0,0,0,0,0
36035,19248,281.02008653976117,19248,174968,850214,3307,2125,316,168,28,0,0,0,0,0,0,0,0,0
36037,84523,710.8464872949314,84523,1011309,4639153,6666,3438,889,470,273,208,0,0,0,0,0,0,0,0
36039,16818,256.05287901303456,16818,148724,693017,3146,2295,347,40,0,0,0,0,0,0,0,0,0,0
36041,1239,18.772362680935633,1239,7532,35948,242,132,0,0,0,0,0,0,0,0,0,0,0,0
36043,34540,400.9198465478018,34540,353203,1772966,4149,1959,635,54,195,0,0,0,0,0,0,0,0,0
36045,93212,782.7290606293269,93212,1057690,5067231,8069,4582,1286,670,84,21,0,0,0,0,0,0,0,0
36047,1404328,8659.56193810257,1329172,17757181,79642823,148200,99628,21268,11996,8733,1740,1389,212,0,0,0,0,0,0
36049,7254,137.75161873508105,7254,94695,440508,1624,1053,182,0,0,0,0,0,0,0,0,0,0,0
36051,52746,435.50538675853664,52746,631112,3258377,4888,2714,637,287,0,54,0,0,0,0,0,0,0,0
